retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Trimestre,Ano,Ciudad
30.873118279569894,71.21182795698924,18.483512544802867,-6.406810035842294,13.193906810035843,1.4559139784946236,4,2021,Monteria
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Neiva
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Neiva
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Neiva
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Neiva
-13.18494623655914,-9.449462365591398,-14.960573476702509,0.0,-5.174910394265233,4.2415770609319,1,2020,Neiva
-68.66093189964157,-52.43082437275985,-61.12043010752688,0.0,-49.668458781362006,25.740501792114696,2,2020,Neiva
-48.711469534050174,-27.555913978494626,-34.57741935483871,0.0,-26.49964157706093,15.90035842293907,3,2020,Neiva
-30.09605734767025,-4.493548387096775,-14.978136200716845,0.0,-14.801433691756273,9.76594982078853,4,2020,Neiva
-33.38863287250384,-4.721198156682028,-35.16781874039938,0.0,-15.751536098310291,8.35752688172043,1,2021,Neiva
-18.438351254480285,13.66200716845878,-31.999283154121866,0.0,-10.172043010752688,7.786021505376343,2,2021,Neiva
1.0587813620071687,29.22688172043011,-20.43799283154122,0.0,0.05591397849462373,4.102508960573476,3,2021,Neiva
19.76989247311828,51.886738351254486,-6.301433691756273,0.0,7.337634408602152,0.9967741935483873,4,2021,Neiva
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Pasto
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Pasto
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Pasto
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Pasto
-12.33046594982079,-6.307526881720431,-10.807885304659498,0.0,-1.5254480286738357,3.1354838709677417,1,2020,Pasto
-68.66881720430108,-44.669892473118274,-64.33870967741936,0.0,-47.8168458781362,25.412186379928315,2,2020,Pasto
-52.201792114695344,-28.335483870967746,-46.35376344086021,0.0,-32.21971326164874,18.229390681003586,3,2020,Pasto
-28.569175627240142,9.894982078853047,-22.251971326164874,0.0,-14.345878136200717,9.3663082437276,4,2020,Pasto
-33.33410138248848,1.0268817204301068,-32.247695852534555,0.0,-17.843701996927802,9.040322580645162,1,2021,Pasto
-19.57956989247312,20.94516129032258,-17.036559139784945,0.0,-11.678494623655913,9.769175627240143,2,2021,Pasto
1.1763440860215055,38.92688172043011,0.9444444444444443,0.0,2.0774193548387094,4.522939068100358,3,2021,Pasto
22.405376344086022,53.96594982078853,18.496415770609318,0.0,14.29068100358423,1.4433691756272402,4,2021,Pasto
0.0,0.0,0.0,0.0,0.0,0.0,1,2019,Pereira
0.0,0.0,0.0,0.0,0.0,0.0,2,2019,Pereira
0.0,0.0,0.0,0.0,0.0,0.0,3,2019,Pereira
0.0,0.0,0.0,0.0,0.0,0.0,4,2019,Pereira
-14.177060931899641,-7.906810035842294,-15.732616487455196,-12.068817204301075,-5.3247311827956985,4.134767025089606,1,2020,Pereira
