DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Total
05,Antioquia,05034,Andes,2034,Cabecera Municipal,27387
05,Antioquia,05034,Andes,2034,Centros Poblados y Rural Disperso,24282
05,Antioquia,05034,Andes,2034,Total,51669
05,Antioquia,05034,Andes,2035,Cabecera Municipal,27621
05,Antioquia,05034,Andes,2035,Centros Poblados y Rural Disperso,24554
05,Antioquia,05034,Andes,2035,Total,52175
05,Antioquia,05036,Angelópolis,2018,Cabecera Municipal,2168
05,Antioquia,05036,Angelópolis,2018,Centros Poblados y Rural Disperso,3588
05,Antioquia,05036,Angelópolis,2018,Total,5756
05,Antioquia,05036,Angelópolis,2019,Cabecera Municipal,2252
05,Antioquia,05036,Angelópolis,2019,Centros Poblados y Rural Disperso,3538
05,Antioquia,05036,Angelópolis,2019,Total,5790
05,Antioquia,05036,Angelópolis,2020,Cabecera Municipal,2331
05,Antioquia,05036,Angelópolis,2020,Centros Poblados y Rural Disperso,3510
05,Antioquia,05036,Angelópolis,2020,Total,5841
05,Antioquia,05036,Angelópolis,2021,Cabecera Municipal,2462
05,Antioquia,05036,Angelópolis,2021,Centros Poblados y Rural Disperso,3470
05,Antioquia,05036,Angelópolis,2021,Total,5932
05,Antioquia,05036,Angelópolis,2022,Cabecera Municipal,2563
05,Antioquia,05036,Angelópolis,2022,Centros Poblados y Rural Disperso,3460
05,Antioquia,05036,Angelópolis,2022,Total,6023
05,Antioquia,05036,Angelópolis,2023,Cabecera Municipal,2658
05,Antioquia,05036,Angelópolis,2023,Centros Poblados y Rural Disperso,3459
05,Antioquia,05036,Angelópolis,2023,Total,6117
05,Antioquia,05036,Angelópolis,2024,Cabecera Municipal,2707
05,Antioquia,05036,Angelópolis,2024,Centros Poblados y Rural Disperso,3459
05,Antioquia,05036,Angelópolis,2024,Total,6166
05,Antioquia,05036,Angelópolis,2025,Cabecera Municipal,2755
05,Antioquia,05036,Angelópolis,2025,Centros Poblados y Rural Disperso,3474
05,Antioquia,05036,Angelópolis,2025,Total,6229
05,Antioquia,05036,Angelópolis,2026,Cabecera Municipal,2799
